carrot;морковь
pumpkin;тыква
cherries;вишня
radish;редиска
chilli pepper;красный перец
apricots;абрикосы
cabbage;капуста
avocado;авокадо
spinach;шпинат
sweetcorn;кукуруза
grapefruit;грейпфрут
pineapple;ананас
cauliflower;цветная капуста
garlic;чеснок
coconut;кокос
aubergine;баклажан
figs;инжир
beetroot;свекла
crunchy/stale/dry biscuits;хрустящее/черствое/сухое печенье
wholemeal/sliced/white bread;цельнозерновой/нарезанный/белый хлеб
black/ground/cayenne pepper;черный/молотый/острый перец
brown/long-grain/white rice;желтый/длиннозерновой/белый рис
mixed/side/green salad;смешанный/закусочный/зеленый салат
home-made/tinned/mushroom soup;домашний/консервированный/грибной суп
sugar/chocolate/maple syrup;сахарный/шоколадный/кленовый сироп
sparkling/still/soda water;газированная/негазированная/содовая вода
bitter;горький
sour;кислый
sweet;сладкий
cooked;приготовленный
raw;сырой
fresh;свежий
stale;несвежий
rotten;гнилой
hot;горячий
spicy;острый
mild;умеренный
bland;безвкусный
unripe;незрелый
ripe;зрелый
fatty;жирный
lean;низкокаллорийный